,Q1_GOING_OUT,Q2_GENDER,Q3_AGE,Q4_COUNTRY,Q5_STATE_PROVINCE_COUNTY_ETC,Q6_Full_Sized_Candy_Bars,Q6_Butterfinger,Q6_Candy_Corn,Q6_Chiclets,Q6_Dots,Q6_Fuzzy_Peaches,Q6_Good_N_Plenty,Q6_Gummy_Bears,Q6_Healthy_Fruit,Q6_Heath_Bar,Q6_Hersheys_Dark_Chocolate,Q6_Hersheys_Milk_Chocolate,Q6_Hersheys_Kisses,Q6_Jolly_Rancher_bad_flavor,Q6_Jolly_Ranchers_good_flavor,Q6_Junior_Mints,Q6_Kit_Kat,Q6_LaffyTaffy,Q6_LemonHeads,Q6_Licorice,Q6_Black_Licorice,Q6_Lollipops,Q6_Mike_and_Ike,Q6_Milk_Duds,Q6_Milky_Way,Q6_Regular_M_Ms,Q6_Peanut_M_Ms,Q6_Mint_Kisses,Q6_Mr_Goodbar,Q6_Nerds,Q6_Nestle_Crunch,Q6_Peeps,Q6_Pixy_Stix,Q6_Reeses_Peanut_Butter_Cups,Q6_Reeses_Pieces,Q6_Rolos,Q6_Skittles,Q6_Snickers,Q6_Sourpatch_Kids,Q6_Starburst,Q6_Swedish_Fish,Q6_Tic_Tacs,Q6_Three_Musketeers,Q6_Tolberone,Q6_Trail_Mix,Q6_Twix,Q6_Whatchamacallit_Bars,Q6_York_Peppermint_Patties,Q7_JOY_OTHER,Q8_DESPAIR_OTHER,Q9_OTHER_COMMENTS,longitude,latitude,State,fips
0,No,Male,44.0,United States,NM,JOY,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,MEH,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,Mounds,,Bottom line is Twix is really the only candy worth eating. ,-105.8700901,34.5199402,New Mexico,35
1,No,Male,40.0,United States,or,JOY,MEH,DESPAIR,MEH,JOY,MEH,MEH,JOY,MEH,DESPAIR,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,JOY,DESPAIR,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,MEH,MEH,JOY,MEH,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,"""Reese's crispy crunchy bars, 5th avenue bars, ferrero rocher, dries fruit other than raisins""",,Raisins can go to hell,-120.5542012,43.8041334,Oregon,41
2,No,Male,23.0,United States,exton pa,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,,MEH,JOY,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,,,,-75.6274583,40.0325817,Pennsylvania,42
3,No,Male,33.0,Canada,ontario,JOY,JOY,JOY,MEH,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,MEH,JOY,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,using my elbows to get in front of the little kids in line.,"""when the little kids get the big chocolate bars and the homeowner says that im too old to be trick-or-treating but then i try to logic with them but they still say no so i pout and stomp my feet to make it seem like im young at heart, but really im just gonna go to the corner store and buy a candy bar for myself later.""","""first person to give out cans of beer, wins""",-85.323214,51.253775,Ontario,
4,No,Male,40.0,Canada,Ontario,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,MEH,JOY,MEH,MEH,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,DESPAIR,,,,-85.323214,51.253775,Ontario,
5,No,Female,53.0,United States,Wa,JOY,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,JOY,MEH,MEH,Peanut butter m&ms ,,,-120.7401385,47.7510741,Washington,53
6,No,Male,56.0,Canada,Quebec,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,JOY,MEH,JOY,MEH,MEH,MEH,JOY,JOY,JOY,MEH,JOY,MEH,JOY,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,,,,-71.2079809,46.8138783,Quebec,
7,No,Male,64.0,United States,NY,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,MEH,,,,-74.0059728,40.7127753,New York,36
8,No,Female,37.0,Canada,Ontario,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,MEH,JOY,MEH,MEH,JOY,MEH,MEH,MEH,JOY,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,Cheesy Snax,Coupons,,-85.323214,51.253775,Ontario,
9,No,I'd rather not say,59.0,United States,NEW YORK,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,MEH,MEH,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,MEH,MEH,Cadbury Fingers,fake licorice,Happy Halloween,-74.0059728,40.7127753,New York,36
